route_id,stop_sequence,latitude,longitude,stop_type,planned_arrival_time,service_time_minutes,planned_start_time,time_window_start,time_window_end,demand_units,customer_id
R001,0,40.748,-73.9855,depot,,0,2025-06-10T08:00:00+00:00,,,0,
R001,1,40.748,-73.9663,delivery,,2.0,2025-06-10T08:00:00+00:00,,,1,cou-R001-01
R001,2,40.75098,-73.97395,delivery,,2.0,2025-06-10T08:00:00+00:00,,,1,cou-R001-02
R001,3,40.74233,-73.969,delivery,,2.0,2025-06-10T08:00:00+00:00,,,1,cou-R001-03
R001,4,40.75334,-73.96425,delivery,,2.0,2025-06-10T08:00:00+00:00,,,1,cou-R001-04
R001,5,40.74667,-73.97959,delivery,,2.0,2025-06-10T08:00:00+00:00,,,1,cou-R001-05
R001,6,40.74347,-73.96026,delivery,,2.0,2025-06-10T08:00:00+00:00,,,1,cou-R001-06
R001,7,40.75686,-73.97281,delivery,,2.0,2025-06-10T08:00:00+00:00,,,1,cou-R001-07
R001,8,40.73925,-73.97566,delivery,,2.0,2025-06-10T08:00:00+00:00,,,1,cou-R001-08
R001,9,40.7516,-73.95665,delivery,,2.0,2025-06-10T08:00:00+00:00,,,1,cou-R001-09
R001,10,40.75223,-73.9832,delivery,,2.0,2025-06-10T08:00:00+00:00,,,1,cou-R001-10
R001,11,40.73743,-73.96313,delivery,,2.0,2025-06-10T08:00:00+00:00,,,1,cou-R001-11
R001,12,40.75965,-73.96484,delivery,,2.0,2025-06-10T08:00:00+00:00,,,1,cou-R001-12
R001,13,40.74162,-73.9842,delivery,,2.0,2025-06-10T08:00:00+00:00,,,1,cou-R001-13
R001,14,40.74516,-73.95261,delivery,,2.0,2025-06-10T08:00:00+00:00,,,1,cou-R001-14
R001,15,40.75921,-73.98007,delivery,,2.0,2025-06-10T08:00:00+00:00,,,1,cou-R001-15
R001,16,40.73394,-73.97206,delivery,,2.0,2025-06-10T08:00:00+00:00,,,1,cou-R001-16
R001,17,40.75742,-73.9549,delivery,,2.0,2025-06-10T08:00:00+00:00,,,1,cou-R001-17
R001,18,40.74862,-73.98952,delivery,,2.0,2025-06-10T08:00:00+00:00,,,1,cou-R001-18
R001,19,40.73708,-73.95517,delivery,,2.0,2025-06-10T08:00:00+00:00,,,1,cou-R001-19
R001,20,40.76388,-73.97063,delivery,,2.0,2025-06-10T08:00:00+00:00,,,1,cou-R001-20
R001,21,40.73549,-73.98345,delivery,,2.0,2025-06-10T08:00:00+00:00,,,1,cou-R001-21
R001,22,40.75023,-73.94782,delivery,,2.0,2025-06-10T08:00:00+00:00,,,1,cou-R001-22
R001,23,40.75775,-73.98816,delivery,,2.0,2025-06-10T08:00:00+00:00,,,1,cou-R001-23
R001,24,40.73097,-73.9646,delivery,,2.0,2025-06-10T08:00:00+00:00,,,1,cou-R001-24
R001,25,40.76346,-73.95797,delivery,,2.0,2025-06-10T08:00:00+00:00,,,1,cou-R001-25
R002,0,40.748,-73.9855,depot,,0,2025-06-10T08:00:00+00:00,,,0,
R002,1,40.76252,-73.98593,delivery,,2.0,2025-06-10T08:00:00+00:00,,,1,cou-R002-01
R002,2,40.75639,-73.98885,delivery,,2.0,2025-06-10T08:00:00+00:00,,,1,cou-R002-02
R002,3,40.76122,-73.97816,delivery,,2.0,2025-06-10T08:00:00+00:00,,,1,cou-R002-03
R002,4,40.76338,-73.99319,delivery,,2.0,2025-06-10T08:00:00+00:00,,,1,cou-R002-04
R002,5,40.75271,-73.98248,delivery,,2.0,2025-06-10T08:00:00+00:00,,,1,cou-R002-05
R002,6,40.76765,-73.98078,delivery,,2.0,2025-06-10T08:00:00+00:00,,,1,cou-R002-06
R002,7,40.7565,-73.9967,delivery,,2.0,2025-06-10T08:00:00+00:00,,,1,cou-R002-07
R002,8,40.75662,-73.97327,delivery,,2.0,2025-06-10T08:00:00+00:00,,,1,cou-R002-08
